"no","State","mean_score","mean_price","mean_value","freq"
"1","Central Italy",87.4217749313815,25.4638609332113,4.63319600409654,1093
"2","Lombardy",88.8711018711019,36.952182952183,3.02416292400284,481
"3","Northeastern Italy",88.0322743318205,27.0584972264246,4.14716193931844,1983
"4","Northwestern Italy",87,22.0769230769231,4.33711997384766,13
"5","Piedmont",89.5850891410049,54.9915721231767,2.46955360132937,3085
"6","Sicily & Sardinia",88.192431045542,27.6234765875561,4.31062304048598,1559
"7","Southern Italy",87.8647214854111,27.8028293545535,4.17443850126933,1131
"8","Tuscany",89.1484009360374,47.6836973478939,2.97340027443474,5128
"9","Veneto",87.8612917208496,34.050281751192,3.9828420187068,2307
