"no","State","mean_score","mean_price","mean_value","freq"
"1","Andalucia",89.7311827956989,35.5913978494624,3.93631512183107,186
"2","Catalonia",87.4614050303556,28.4666088464874,4.60110534815178,1153
"3","Central Spain",85.5341614906832,18.4865424430642,6.7958313725746,483
"4","Galicia",87.4449877750611,21.0904645476773,4.59972450789213,409
"5","Levante",86.5995575221239,19.9402654867257,6.15330795253881,452
"6","Northern Spain",87.4217597471022,30.7737091675448,4.74722228355521,3796
"7","Spanish Islands",87.6086956521739,33.0434782608696,3.54137849217122,23
